login_hour,failed_attempts,ip_count,failure_ratio
12,0,2,0.13
11,0,1,0.06
23,12,3,0.8
3,17,3,0.98
23,28,17,0.75
17,1,2,0.04
8,0,1,0.23
22,28,1,0.86
9,1,1,0.24
18,0,2,0.13
12,2,1,0.01
5,8,3,0.79
3,17,3,0.87
12,43,14,0.7
4,11,7,0.65
21,14,7,0.47
1,13,10,0.65
18,0,2,0.14
12,0,2,0.17
12,1,2,0.18
22,8,7,0.62
17,0,2,0.03
9,2,2,0.22
1,3,5,0.5
9,2,1,0.18
9,1,1,0.14
20,25,1,0.87
16,1,2,0.25
12,0,2,0.23
14,2,2,0.1
14,1,1,0.29
5,5,3,0.66
16,0,2,0.04
9,5,13,0.47
11,1,1,0.03
2,22,1,0.99
20,2,1,0.14
15,0,1,0.12
5,13,9,0.5
13,0,2,0.03
21,7,5,0.66
15,2,2,0.23
9,49,9,0.87
13,1,1,0.19
11,0,2,0.24
10,2,2,0.13
8,2,2,0.22
13,10,7,0.6
10,1,2,0.09
20,1,2,0.03
4,9,9,0.56
14,8,15,0.52
19,1,1,0.02
21,12,5,0.49
2,6,2,0.67
14,2,2,0.23
0,10,1,0.91
15,16,2,0.92
9,2,2,0.14
12,0,1,0.0
19,2,1,0.15
19,8,13,0.49
6,17,13,0.72
11,2,2,0.06
16,2,1,0.22
17,2,1,0.01
18,1,1,0.22
11,1,2,0.17
20,2,2,0.05
10,2,1,0.09
3,10,2,0.75
18,20,1,0.92
13,24,10,0.8
8,0,1,0.12
8,33,16,0.93
15,0,2,0.04
13,1,1,0.06
5,4,3,0.68
16,0,1,0.05
10,1,1,0.2
14,0,1,0.24
16,0,2,0.05
20,2,2,0.27
9,2,2,0.11
9,2,2,0.22
12,2,1,0.3
15,0,1,0.23
2,22,3,0.9
11,2,1,0.19
11,23,3,0.88
20,1,2,0.27
0,5,14,0.64
18,25,2,0.83
13,22,3,0.86
19,2,2,0.24
8,7,11,0.52
10,0,1,0.0
22,13,5,0.62
10,0,1,0.27
9,0,2,0.15
13,0,2,0.29
15,19,3,0.93
19,0,2,0.23
17,2,1,0.13
4,31,20,0.93
14,1,2,0.11
20,2,1,0.18
3,9,4,0.68
18,0,1,0.24
4,5,5,0.76
13,0,2,0.07
4,7,6,0.66
13,0,2,0.01
15,1,1,0.03
16,0,1,0.05
14,0,2,0.29
16,2,1,0.21
17,2,1,0.27
9,0,1,0.08
15,24,2,0.94
18,0,1,0.04
1,5,4,0.67
15,1,1,0.19
19,0,1,0.08
15,2,2,0.05
16,0,1,0.27
9,1,2,0.07
8,1,2,0.24
13,0,2,0.09
11,1,2,0.29
18,1,1,0.1
16,1,2,0.07
14,17,1,0.98
17,28,8,0.88
8,1,2,0.15
9,0,1,0.16
20,1,2,0.09
12,25,20,0.73
16,2,1,0.16
9,0,1,0.22
8,2,1,0.1
19,2,1,0.08
11,0,2,0.26
15,0,1,0.13
12,1,1,0.19
14,2,1,0.16
8,1,1,0.21
12,1,1,0.07
11,1,1,0.22
19,1,1,0.21
18,2,1,0.08
11,0,1,0.22
12,23,10,0.93
16,1,2,0.02
14,0,1,0.14
12,1,2,0.16
8,13,5,0.62
6,12,6,0.49
14,2,1,0.22
11,1,1,0.25
21,16,12,0.75
23,20,11,0.94
20,1,1,0.27
11,2,2,0.15
13,2,2,0.1
23,17,2,0.81
19,1,2,0.24
8,0,2,0.27
12,0,1,0.2
9,0,2,0.16
11,2,1,0.21
15,1,1,0.28
21,21,17,0.82
10,1,2,0.19
11,2,2,0.11
10,1,2,0.28
9,2,1,0.26
16,0,1,0.23
12,0,1,0.29
15,1,1,0.2
8,1,1,0.01
14,1,1,0.21
14,0,1,0.06
16,1,1,0.09
18,2,1,0.14
9,9,10,0.57
16,0,2,0.14
8,1,2,0.05
15,0,1,0.01
12,1,1,0.18
8,27,13,0.81
15,1,2,0.18
16,1,1,0.22
20,39,14,0.98
16,0,1,0.27
17,18,18,0.91
10,35,11,0.78
19,2,1,0.19
14,1,1,0.29
12,0,1,0.06
11,2,2,0.13
23,39,19,0.84
16,2,1,0.14
8,0,2,0.09
8,1,1,0.0
10,2,2,0.03
23,19,2,0.98
10,0,2,0.2
14,2,1,0.18
17,2,2,0.08
10,1,1,0.25
11,0,1,0.11
15,1,2,0.06
15,2,2,0.14
8,1,2,0.27
13,0,1,0.23
17,30,3,0.9
15,1,2,0.15
18,0,2,0.12
7,15,8,0.61
18,6,5,0.56
19,2,1,0.25
13,1,2,0.06
1,8,4,0.74
14,2,2,0.13
6,18,1,0.82
15,0,1,0.03
20,18,1,0.89
8,1,2,0.14
16,1,2,0.12
12,0,1,0.22
19,0,1,0.29
19,28,1,0.95
9,0,2,0.14
19,2,1,0.28
20,0,2,0.3
18,2,1,0.27
14,2,1,0.24
9,0,1,0.15
3,5,2,0.55
8,1,2,0.2
12,1,2,0.1
2,15,15,0.99
9,0,2,0.12
8,0,1,0.15
19,2,1,0.23
9,1,1,0.27
2,4,2,0.5
15,2,1,0.06
16,1,1,0.09
20,0,1,0.04
0,7,2,0.73
9,1,2,0.12
15,0,1,0.08
15,1,2,0.19
16,9,9,0.46
10,9,12,0.45
3,8,2,0.76
22,15,11,0.67
18,1,2,0.29
12,2,1,0.2
16,0,1,0.13
17,1,1,0.29
9,35,15,0.73
17,20,1,0.97
15,0,1,0.14
2,3,5,0.74
18,0,2,0.24
2,25,2,0.9
13,2,1,0.23
18,41,8,0.91
16,0,1,0.29
18,2,1,0.06
18,2,2,0.03
11,0,2,0.04
20,1,1,0.06
11,2,1,0.16
12,40,17,0.94
13,2,2,0.04
19,2,1,0.22
15,0,2,0.24
18,1,2,0.2
18,0,2,0.05
13,2,2,0.26
17,2,2,0.17
15,2,2,0.3
1,7,3,0.66
2,18,2,0.91
8,0,1,0.24
15,18,2,0.85
12,1,2,0.23
15,1,1,0.29
8,1,2,0.28
17,2,1,0.04
19,0,1,0.06
19,0,2,0.07
13,0,2,0.02
3,13,1,0.83
12,24,13,0.76
8,0,1,0.26
19,1,2,0.08
11,0,1,0.23
20,2,1,0.09
10,2,1,0.27
17,0,2,0.08
11,1,1,0.18
4,3,2,0.63
15,39,11,0.8
2,7,5,0.52
10,1,2,0.3
5,14,12,0.65
14,2,2,0.21
23,18,3,0.93
12,2,1,0.05
14,2,1,0.2
17,2,2,0.03
20,0,2,0.14
18,0,2,0.25
18,26,3,0.92
18,0,2,0.24
13,17,2,0.87
11,2,2,0.26
6,30,1,0.96
18,1,2,0.11
15,2,1,0.24
0,17,1,0.83
8,2,2,0.23
1,9,2,0.5
3,3,3,0.72
17,1,1,0.3
11,0,1,0.14
18,2,2,0.16
8,1,2,0.12
11,2,1,0.19
13,1,2,0.17
21,48,12,0.84
3,13,3,0.84
0,9,3,0.75
13,2,2,0.25
20,1,1,0.04
7,25,2,0.98
9,0,2,0.1
9,0,1,0.28
6,9,5,0.48
18,0,2,0.05
1,4,4,0.71
10,0,2,0.03
16,1,2,0.27
12,0,1,0.06
16,1,1,0.1
12,1,1,0.14
10,1,1,0.23
18,2,1,0.23
12,2,1,0.19
14,0,1,0.27
8,12,7,0.69
20,1,2,0.08
16,1,2,0.0
17,2,2,0.12
8,0,2,0.1
18,1,2,0.11
13,1,1,0.08
10,0,2,0.25
18,0,1,0.09
19,1,2,0.08
7,29,2,0.98
13,0,2,0.07
20,14,15,0.53
8,2,1,0.16
21,19,2,0.91
10,0,2,0.13
15,1,1,0.3
14,2,1,0.15
12,2,1,0.16
17,2,2,0.19
1,7,4,0.77
20,2,2,0.18
2,6,2,0.5
12,1,1,0.11
22,28,1,0.96
9,1,2,0.19
10,15,3,0.9
16,2,2,0.23
18,2,1,0.26
18,18,3,0.89
19,2,2,0.23
4,25,2,0.99
17,0,1,0.01
12,0,1,0.23
13,12,8,0.66
14,2,2,0.2
14,1,2,0.21
20,2,1,0.14
18,2,2,0.13
12,0,1,0.14
0,6,11,0.55
18,1,2,0.04
18,2,2,0.1
16,26,1,0.9
3,5,5,0.78
13,1,2,0.06
14,2,1,0.07
16,2,2,0.23
4,4,5,0.77
18,0,1,0.14
13,1,1,0.2
18,0,2,0.13
21,46,14,0.74
12,1,2,0.17
9,1,1,0.04
13,2,1,0.05
19,2,2,0.07
1,7,5,0.6
14,2,1,0.09
11,0,1,0.06
1,11,8,0.64
2,7,3,0.51
16,2,2,0.07
11,0,2,0.11
16,0,2,0.13
11,1,1,0.19
20,0,2,0.1
11,2,2,0.12
8,2,1,0.3
10,1,2,0.11
16,1,2,0.12
11,0,1,0.27
19,2,2,0.18
8,2,1,0.01
9,25,3,0.85
0,11,12,0.46
13,2,2,0.23
14,0,1,0.05
12,37,20,0.7
5,3,4,0.67
23,15,2,0.88
18,1,2,0.18
20,14,7,0.46
16,2,2,0.03
1,8,2,0.64
16,2,2,0.02
19,30,15,0.89
14,1,2,0.16
14,0,1,0.01
20,1,1,0.0
4,7,3,0.66
12,2,1,0.2
18,0,1,0.3
8,0,2,0.01
9,1,1,0.09
20,2,2,0.04
9,1,1,0.19
11,1,1,0.21
15,0,1,0.17
8,2,2,0.14
12,10,9,0.45
12,0,1,0.15
8,1,2,0.29
11,2,2,0.23
2,12,1,0.86
13,0,2,0.15
17,1,2,0.22
9,1,1,0.1
1,22,1,0.88
20,2,1,0.07
17,0,1,0.1
15,29,2,0.86
10,0,1,0.28
18,1,2,0.28
4,4,2,0.71
17,0,1,0.27
16,0,2,0.25
10,2,2,0.13
19,5,13,0.43
13,2,2,0.1
5,6,4,0.55
16,1,2,0.16
14,0,2,0.01
6,10,7,0.67
19,2,2,0.04
18,1,1,0.29
17,14,5,0.7
1,4,3,0.53
13,2,1,0.09
17,2,1,0.18
9,25,17,1.0
9,0,1,0.02
15,1,2,0.02
8,2,2,0.12
1,11,2,0.97
17,1,2,0.26
10,2,2,0.29
12,1,1,0.09
18,0,1,0.24
9,0,1,0.02
19,1,1,0.01
16,0,1,0.01
4,4,5,0.67
13,11,12,0.67
12,2,1,0.25
5,38,17,0.75
9,1,1,0.29
11,2,2,0.03
9,0,2,0.07
20,21,3,0.94
14,2,2,0.23
18,0,2,0.18
2,5,3,0.7
18,1,2,0.02
1,26,3,0.83
11,1,2,0.28
0,11,2,0.97
3,10,2,0.79
18,2,2,0.13
2,8,3,0.59
17,2,2,0.09
8,2,1,0.29
20,0,1,0.23
14,0,2,0.11
2,5,4,0.54
20,2,1,0.24
18,0,1,0.15
2,12,3,0.83
12,0,2,0.1
0,38,18,0.93
17,11,11,0.68
15,1,2,0.28
19,0,1,0.07
14,1,2,0.28
12,0,1,0.0
16,2,2,0.25
13,0,1,0.05
14,1,1,0.08
9,2,1,0.24
1,6,5,0.77
1,8,2,0.65
13,1,1,0.19
18,2,2,0.12
3,13,1,0.97
19,2,2,0.01
11,2,2,0.07
20,1,2,0.05
3,3,4,0.7
13,1,1,0.3
17,2,1,0.03
20,2,1,0.13
12,11,9,0.49
5,8,4,0.68
18,2,1,0.26
13,2,1,0.11
12,1,2,0.16
9,2,1,0.06
13,0,1,0.16
18,11,1,0.93
9,2,2,0.05
15,0,1,0.22
8,1,2,0.02
0,5,10,0.59
17,0,2,0.3
19,2,1,0.03
18,1,1,0.18
20,0,1,0.17
12,1,1,0.07
0,5,4,0.64
9,2,2,0.3
20,1,1,0.3
18,0,2,0.29
16,17,1,0.85
17,2,1,0.17
11,1,2,0.28
15,1,2,0.03
5,6,3,0.58
12,0,1,0.03
3,10,4,0.56
11,2,1,0.18
19,0,1,0.25
9,5,12,0.47
17,1,2,0.08
12,0,1,0.27
17,2,1,0.24
18,14,7,0.55
8,0,1,0.09
19,2,2,0.18
21,30,3,0.81
9,30,20,0.95
9,19,1,0.82
3,6,15,0.65
16,0,1,0.3
10,0,2,0.18
9,1,2,0.24
19,12,10,0.46
3,7,5,0.59
16,2,1,0.1
12,2,1,0.09
23,15,13,0.42
19,2,2,0.18
7,21,9,0.9
17,0,1,0.27
6,16,18,0.76
4,5,5,0.78
13,2,1,0.01
12,0,2,0.12
17,30,11,0.82
2,28,15,0.84
9,2,1,0.19
20,2,2,0.2
13,1,1,0.06
19,2,2,0.05
0,3,2,0.67
13,0,2,0.05
8,1,2,0.29
12,1,2,0.29
19,0,2,0.22
12,0,2,0.0
20,2,2,0.21
18,0,2,0.16
8,2,2,0.24
22,22,3,0.86
18,1,1,0.16
14,0,2,0.28
13,0,1,0.18
1,6,5,0.6
20,1,1,0.23
18,1,1,0.03
16,2,1,0.3
1,43,14,0.78
0,22,3,0.86
14,1,2,0.26
8,16,1,0.8
16,2,1,0.24
17,1,1,0.21
15,2,2,0.19
12,0,2,0.09
12,1,1,0.2
0,8,12,0.54
9,1,2,0.17
10,2,2,0.11
7,35,15,0.75
3,15,13,0.46
13,1,2,0.14
16,2,1,0.22
21,6,9,0.57
17,2,1,0.08
3,8,3,0.54
8,0,2,0.29
15,1,1,0.13
1,6,14,0.56
12,1,1,0.1
14,2,1,0.23
20,45,8,0.88
9,1,1,0.05
12,0,2,0.07
12,2,1,0.11
4,10,5,0.74
18,2,1,0.25
2,42,18,0.76
16,26,3,0.99
17,28,9,0.91
18,15,2,0.97
9,1,1,0.13
16,2,1,0.21
11,2,2,0.01
8,1,1,0.1
13,2,1,0.08
19,0,1,0.05
12,34,17,0.88
15,2,2,0.21
4,5,4,0.75
22,32,12,0.93
11,0,2,0.16
3,11,6,0.55
14,1,1,0.08
4,9,3,0.73
14,26,2,0.91
3,4,5,0.78
9,0,1,0.16
20,2,2,0.26
15,44,8,0.94
5,7,4,0.52
15,0,1,0.21
12,0,1,0.08
13,25,12,0.72
1,10,2,0.54
12,0,2,0.15
14,0,2,0.24
3,10,4,0.67
5,5,2,0.8
14,1,1,0.02
1,9,5,0.75
11,0,2,0.06
13,45,19,0.91
16,27,3,0.85
21,22,1,0.89
12,1,2,0.29
18,1,1,0.03
19,2,2,0.27
19,7,11,0.56
13,1,2,0.02
18,1,2,0.06
9,0,1,0.1
14,2,2,0.09
12,2,2,0.14
18,2,1,0.28
8,13,12,0.46
16,1,2,0.02
10,1,1,0.08
10,0,1,0.15
3,10,12,0.62
14,1,1,0.12
3,18,13,0.91
21,25,2,0.83
2,6,2,0.77
19,1,2,0.06
11,29,2,0.94
10,1,1,0.29
14,0,2,0.26
12,1,2,0.22
14,2,1,0.28
19,1,1,0.06
2,30,9,0.9
12,2,2,0.21
9,16,20,1.0
16,0,1,0.14
3,7,10,0.45
15,1,2,0.2
19,30,1,1.0
11,0,1,0.08
15,1,1,0.2
9,49,15,0.81
9,2,2,0.12
9,0,2,0.06
15,1,1,0.19
15,14,1,0.99
11,2,1,0.25
13,0,2,0.22
16,45,9,0.89
18,2,1,0.1
17,0,1,0.25
3,4,5,0.7
12,0,1,0.13
5,25,10,0.71
17,2,1,0.13
12,2,2,0.06
11,2,1,0.03
15,1,1,0.03
3,8,5,0.64
8,16,13,0.74
18,0,2,0.29
12,1,2,0.1
19,0,1,0.25
18,11,8,0.61
21,14,1,0.92
20,2,1,0.04
11,1,1,0.19
11,0,1,0.14
11,1,2,0.29
10,1,1,0.18
12,0,2,0.16
19,10,5,0.56
5,7,5,0.61
13,32,15,0.85
9,2,2,0.24
20,0,1,0.22
18,0,1,0.13
20,0,2,0.19
12,0,1,0.02
8,2,1,0.1
13,2,1,0.03
13,1,1,0.03
5,6,5,0.56
18,1,1,0.19
16,2,1,0.02
9,0,2,0.17
10,1,2,0.11
2,7,2,0.56
17,1,1,0.2
9,2,1,0.03
20,1,1,0.13
11,2,2,0.29
10,1,2,0.11
20,5,5,0.62
13,0,1,0.19
19,0,2,0.13
18,39,12,0.94
14,1,2,0.15
0,9,2,0.51
12,1,2,0.04
19,2,1,0.17
10,2,1,0.08
10,1,1,0.25
17,22,20,0.91
14,30,3,0.88
19,0,2,0.13
0,6,5,0.56
9,44,17,0.87
16,1,1,0.25
15,1,2,0.02
11,0,2,0.16
17,2,2,0.24
14,0,2,0.17
10,2,2,0.13
11,1,2,0.24
14,0,1,0.25
15,1,1,0.2
18,17,1,0.8
1,3,2,0.62
15,2,1,0.26
10,0,2,0.19
15,0,2,0.2
10,2,1,0.27
20,2,1,0.15
9,2,1,0.06
10,0,2,0.05
9,1,1,0.05
20,2,1,0.18
19,0,1,0.18
1,8,2,0.54
16,2,1,0.13
10,27,3,0.89
8,0,1,0.24
15,1,1,0.02
15,1,1,0.13
15,2,1,0.01
11,13,9,0.47
12,0,2,0.28
10,0,2,0.21
11,2,2,0.09
2,5,4,0.69
9,2,1,0.07
17,0,2,0.24
10,1,2,0.11
8,1,2,0.27
20,1,1,0.18
9,0,2,0.3
14,1,1,0.07
20,10,5,0.49
21,49,10,0.88
12,0,1,0.1
11,2,1,0.25
18,1,1,0.16
10,0,1,0.21
12,2,1,0.02
13,0,2,0.28
14,0,1,0.12
17,2,2,0.15
10,0,1,0.03
17,1,2,0.12
17,2,1,0.12
13,0,2,0.04
17,2,2,0.18
8,2,2,0.29
19,2,2,0.02
0,5,8,0.5
18,2,2,0.04
19,2,1,0.28
12,7,15,0.48
13,36,12,0.81
15,1,2,0.22
16,1,2,0.14
17,2,1,0.03
19,1,1,0.13
10,2,1,0.2
18,2,1,0.21
14,0,1,0.24
16,2,2,0.13
16,2,1,0.03
13,1,2,0.07
8,10,9,0.44
14,26,9,0.95
10,2,1,0.15
13,0,2,0.15
20,2,1,0.29
3,5,9,0.59
9,6,5,0.61
15,0,1,0.09
9,2,1,0.01
17,2,2,0.24
5,6,3,0.63
15,2,1,0.03
19,1,1,0.26
18,1,1,0.18
16,0,2,0.21
19,12,11,0.45
19,0,1,0.15
12,0,1,0.22
13,2,2,0.29
9,0,2,0.24
18,0,1,0.02
0,21,3,0.88
10,1,1,0.15
16,25,1,0.81
9,2,1,0.14
18,0,2,0.12
12,0,2,0.11
13,1,2,0.18
12,1,1,0.03
4,22,3,0.99
20,2,2,0.08
15,1,1,0.19
19,20,1,0.92
2,11,12,0.62
11,2,2,0.25
8,2,1,0.16
15,0,1,0.06
13,0,2,0.14
9,32,11,0.81
17,2,1,0.29
20,0,2,0.15
12,1,1,0.05
16,2,2,0.05
19,2,1,0.02
8,38,8,0.76
19,9,7,0.66
17,0,1,0.3
19,26,15,0.99
9,0,1,0.02
14,0,1,0.04
9,2,2,0.09
16,1,1,0.06
8,2,1,0.18
17,1,1,0.27
10,2,1,0.1
18,0,1,0.1
18,0,2,0.1
0,4,4,0.73
15,0,1,0.22
19,0,2,0.05
12,0,2,0.23
12,2,2,0.24
9,2,1,0.27
12,1,2,0.18
18,2,2,0.06
19,1,2,0.17
11,2,2,0.18
14,6,12,0.48
15,1,1,0.25
9,0,1,0.08
12,33,8,0.73
11,0,2,0.08
17,0,2,0.01
20,1,1,0.14
4,6,4,0.69
12,1,2,0.28
11,0,2,0.06
22,6,15,0.45
10,2,2,0.01
12,2,2,0.21
12,1,2,0.23
14,8,5,0.44
15,0,1,0.28
9,1,2,0.03
14,1,1,0.07
10,1,1,0.05
12,2,2,0.22
15,2,2,0.16
6,14,10,0.61
10,9,8,0.45
13,14,2,0.83
15,0,1,0.02
12,0,1,0.13
16,0,2,0.17
4,4,3,0.78
17,0,2,0.24
17,2,1,0.25
3,14,7,0.51
18,1,1,0.26
15,0,2,0.27
20,0,1,0.1
13,2,2,0.24
16,0,1,0.09
8,2,2,0.1
10,1,2,0.0
20,0,1,0.14
16,13,14,0.58
6,38,16,0.77
18,2,1,0.29
17,1,2,0.14
13,43,11,0.76
19,1,2,0.0
13,1,2,0.02
20,0,1,0.03
8,2,1,0.26
9,2,2,0.16
11,0,2,0.02
9,2,2,0.2
8,0,1,0.07
9,2,2,0.17
15,10,1,0.97
13,2,2,0.15
15,29,9,0.93
15,30,2,0.99
12,0,1,0.26
17,1,1,0.12
9,9,7,0.64
20,0,2,0.28
11,0,1,0.1
15,0,2,0.04
19,1,2,0.14
16,2,2,0.05
1,7,3,0.52
16,12,7,0.61
5,6,2,0.6
0,5,5,0.72
4,12,12,0.56
13,2,1,0.08
9,1,1,0.14
2,5,2,0.55
20,0,2,0.25
5,23,12,0.75
14,29,1,0.81
11,0,1,0.18
20,0,2,0.23
18,0,2,0.0
2,36,11,0.96
16,1,1,0.12
5,6,3,0.69
12,39,15,0.77
4,8,13,0.62
2,46,13,0.92
20,49,18,0.94
10,0,2,0.04
10,11,13,0.61
1,4,2,0.72
15,1,2,0.24
18,0,2,0.15
16,0,1,0.2
16,1,2,0.12
16,0,2,0.06
9,1,2,0.29
9,2,1,0.25
16,2,1,0.22
16,1,2,0.27
22,30,1,0.81
11,1,1,0.23
20,1,1,0.1
11,0,2,0.1
12,2,1,0.19
13,2,1,0.27
14,0,2,0.21
13,2,1,0.1
20,0,1,0.09
10,2,2,0.05
10,2,1,0.14
14,1,1,0.21
16,2,1,0.05
11,0,1,0.02
11,1,1,0.07
17,0,1,0.29
17,1,1,0.26
20,0,2,0.02
13,35,10,0.84
2,6,3,0.7
11,2,2,0.22
19,0,2,0.29
9,2,1,0.3
16,15,10,0.53
1,15,11,0.55
5,46,10,0.96
12,2,2,0.16
3,7,5,0.52
10,1,1,0.02
19,1,1,0.11
20,0,1,0.25
11,1,2,0.26
22,30,3,0.96
19,1,2,0.27
8,2,1,0.06
16,2,2,0.15
12,0,1,0.04
20,0,1,0.05
8,0,2,0.3
9,1,1,0.29
17,47,16,0.89
23,9,5,0.61
15,0,1,0.27
12,2,2,0.2
19,0,2,0.08
19,2,2,0.09
16,11,5,0.48
13,2,2,0.16
1,6,3,0.65
19,9,6,0.51
12,1,2,0.19
20,0,2,0.26
2,8,2,0.56
12,0,1,0.12
14,1,2,0.14
13,0,2,0.13
11,1,1,0.19
17,1,2,0.07
14,0,2,0.26
17,0,1,0.25
10,1,2,0.1
15,1,2,0.26
3,3,5,0.5
11,0,1,0.12
21,23,2,0.94
4,7,4,0.58
0,5,5,0.71
11,2,1,0.19
19,2,1,0.12
1,46,16,0.73
5,7,5,0.53
11,40,10,0.85
19,0,2,0.14
10,1,1,0.26
0,8,5,0.8
13,1,1,0.11
11,17,1,0.85
13,45,16,0.84
13,13,3,0.99
15,2,2,0.24
18,2,1,0.19
11,0,1,0.18
11,15,11,0.49
9,1,1,0.11
8,0,1,0.15
13,1,1,0.21
15,0,1,0.19
13,0,2,0.13
20,12,1,0.92
2,32,19,0.76
0,7,4,0.78
9,1,2,0.29
7,47,12,0.88
19,1,1,0.19
18,0,2,0.05
11,0,1,0.27
19,30,13,0.97
17,1,1,0.03
16,1,2,0.02
15,1,2,0.03
9,0,2,0.21
10,0,1,0.19
19,1,1,0.05
20,2,1,0.22
2,21,2,0.84
19,1,1,0.01
15,1,2,0.08
12,1,1,0.14
8,0,2,0.15
3,29,1,0.98
3,42,10,0.85
15,0,2,0.19
20,1,2,0.19
11,0,1,0.11
10,1,2,0.29
16,0,1,0.06
10,2,2,0.19
14,1,2,0.26
7,18,2,0.83
16,1,1,0.16
3,7,2,0.6
13,1,1,0.07
10,10,7,0.49
11,11,11,0.61
14,0,1,0.15
18,1,1,0.04
9,2,2,0.11
10,1,2,0.22
19,2,2,0.02
17,22,12,0.86
8,1,1,0.21
19,0,1,0.3
11,1,2,0.08
21,20,2,0.8
5,9,4,0.77
18,0,2,0.14
15,2,2,0.1
4,4,2,0.51
9,2,2,0.12
8,1,1,0.07
18,0,1,0.08
19,2,1,0.28
10,1,1,0.19
13,2,1,0.07
12,1,2,0.16
10,0,1,0.23
5,4,4,0.6
10,2,1,0.06
23,13,5,0.63
